,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
506,56,3,0,1,0,0,7.19
507,56,4,0,1,0,0,5.76
508,56,5,0,0,0,0,4.43
509,56,6,0,0,0,0,3.5
510,56,7,0,1,0,0,2.86
511,56,8,1,1,1,1,2.18
512,56,9,1,1,1,1,1.43
513,57,1,0,1,0,0,9.2
514,57,2,0,1,0,0,8.09
515,57,3,0,1,0,0,7.2
516,57,4,0,1,0,0,5.73
517,57,5,0,0,0,0,4.44
518,57,6,0,0,0,0,3.46
519,57,7,0,1,0,0,2.8
520,57,8,1,1,1,1,2.17
521,57,9,1,1,1,1,1.47
522,58,1,0,0,0,0,9.37
523,58,2,0,1,0,0,8.04
524,58,3,1,1,1,1,7.0
525,58,4,0,1,0,0,5.55
526,58,5,0,0,0,0,4.38
527,58,6,0,0,0,0,3.39
528,58,7,0,1,0,0,2.6
529,58,8,1,1,1,1,1.87
530,58,9,1,1,1,1,1.25
531,59,1,0,1,0,0,9.31
532,59,2,1,1,1,1,8.04
533,59,3,0,1,1,1,7.14
534,59,4,0,1,0,0,5.84
535,59,5,0,0,0,0,4.5
536,59,6,0,0,0,0,3.43
537,59,7,0,1,0,0,2.67
538,59,8,1,1,1,1,1.86
539,59,9,1,1,1,1,1.14
540,60,1,0,1,0,0,9.34
541,60,2,0,1,0,0,8.21
542,60,3,0,1,0,0,7.43
543,60,4,0,0,0,0,6.18
544,60,5,0,0,0,0,4.62
545,60,6,0,1,0,0,3.34
546,60,7,1,1,0,1,2.36
547,60,8,1,1,0,1,1.54
548,60,9,1,1,1,1,1.0
549,61,1,0,0,0,0,9.56
550,61,2,0,1,0,0,8.38
551,61,3,0,0,0,0,7.68
552,61,4,0,0,0,0,6.65
553,61,5,0,0,0,0,4.98
554,61,6,0,1,0,0,3.41
555,61,7,0,1,0,0,2.32
556,61,8,1,1,1,1,1.65
557,61,9,1,1,1,1,1.36
558,62,1,0,0,0,0,9.59
559,62,2,0,0,0,0,8.4
560,62,3,0,1,0,0,7.72
561,62,4,0,0,0,0,6.62
562,62,5,0,0,0,0,4.91
563,62,6,0,0,0,0,3.28
564,62,7,0,0,0,0,2.09
565,62,8,0,1,0,0,1.5
566,62,9,1,1,1,1,1.19
567,63,1,0,0,0,0,9.69
568,63,2,0,0,0,0,8.46
569,63,3,0,1,0,0,7.72
570,63,4,0,1,0,0,6.53
571,63,5,0,0,0,0,4.64
572,63,6,0,0,0,0,3.07
573,63,7,0,0,0,0,1.92
574,63,8,0,1,0,0,1.36
575,63,9,1,1,1,1,0.96
576,64,1,0,0,0,0,9.63
577,64,2,0,0,0,0,8.36
578,64,3,0,0,0,0,7.6
579,64,4,0,1,0,0,6.45
580,64,5,0,1,0,0,4.78
581,64,6,0,0,0,0,3.17
582,64,7,0,1,0,0,2.01
583,64,8,0,1,0,0,1.42
584,64,9,1,1,1,1,0.97
585,65,1,0,0,0,0,9.8
586,65,2,0,0,0,0,8.4
587,65,3,0,1,0,0,7.62
588,65,4,0,1,0,0,6.58
589,65,5,0,1,0,0,5.04
590,65,6,0,1,0,0,3.47
591,65,7,0,1,0,0,2.27
592,65,8,1,1,0,1,1.53
593,65,9,1,1,1,1,1.06
594,66,1,0,0,0,0,9.71
595,66,2,0,0,0,0,8.28
596,66,3,0,0,0,0,7.45
597,66,4,0,1,0,0,6.34
598,66,5,0,0,0,0,4.68
599,66,6,0,0,0,0,2.93
600,66,7,0,0,0,0,1.85
601,66,8,0,1,0,0,1.15
602,66,9,0,1,0,0,0.64
603,67,1,0,0,0,0,9.61
604,67,2,0,1,0,0,8.15
605,67,3,0,1,0,0,7.31
606,67,4,0,1,0,0,6.15
607,67,5,0,1,0,0,4.38
608,67,6,0,0,0,0,2.69
609,67,7,0,0,0,0,1.77
610,67,8,0,1,0,0,1.07
611,67,9,0,1,0,0,0.51
612,68,1,0,0,0,0,9.76
613,68,2,0,0,0,0,8.23
614,68,3,0,1,0,0,7.39
615,68,4,0,1,0,0,6.09
616,68,5,1,1,0,1,4.14
617,68,6,1,1,0,1,2.34
618,68,7,0,1,0,0,1.21
619,68,8,0,1,0,0,0.72
620,68,9,0,1,0,0,0.42
621,69,1,0,0,0,0,9.5
622,69,2,0,0,0,0,8.21
623,69,3,0,0,0,0,7.5
624,69,4,0,1,0,0,6.5
625,69,5,1,1,0,1,4.87
626,69,6,1,1,0,1,3.17
627,69,7,1,1,0,1,1.7
628,69,8,0,1,0,0,0.8
629,69,9,0,1,0,0,0.37
630,70,1,0,0,0,0,9.58
631,70,2,0,0,0,0,8.27
632,70,3,0,0,0,0,7.57
633,70,4,0,0,0,0,6.77
634,70,5,1,1,0,1,5.3
635,70,6,1,1,0,1,3.48
636,70,7,1,1,0,1,1.77
637,70,8,0,0,0,0,0.57
638,70,9,0,0,0,0,0.12
639,71,1,0,0,0,0,9.45
640,71,2,0,0,0,0,8.22
641,71,3,0,0,0,0,7.54
642,71,4,0,0,0,0,6.59
643,71,5,0,0,0,0,4.64
644,71,6,0,0,0,0,2.9
645,71,7,0,0,0,0,1.62
646,71,8,0,0,0,0,0.63
647,71,9,0,0,0,0,0.06
648,72,1,0,0,0,0,9.65
649,72,2,0,0,0,0,8.36
650,72,3,0,0,0,0,7.73
651,72,4,0,0,0,0,6.5
652,72,5,0,0,0,0,3.91
653,72,6,0,0,0,0,2.12
654,72,7,0,0,0,0,1.11
655,72,8,0,0,0,0,0.26
656,72,9,0,0,0,0,-0.32
657,73,1,0,1,0,0,9.29
658,73,2,0,1,0,0,8.21
659,73,3,0,0,0,0,7.62
660,73,4,0,1,0,0,5.97
661,73,5,0,1,0,0,3.22
662,73,6,0,0,0,0,1.75
663,73,7,0,0,0,0,0.96
664,73,8,0,0,0,0,0.14
665,73,9,0,0,0,0,-0.45
666,74,1,0,1,0,0,9.22
667,74,2,0,1,0,0,8.19
